Species,Age,Gender,Breed,Color,Size,Health,Sterilized,PetID
DOG,BABY,MALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,NO,015c75c9e
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,015fdb354
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,YES,0164a9cfb
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,YES,017d966eb
DOG,BABY,FEMALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,NO,018188075
DOG,SENIOR,MALE,Cocker Spaniel,BROWN,MEDIUM,HEALTHY,NO,01928bd13
DOG,BABY,FEMALE,Pit Bull Terrier,BROWN,LARGE,HEALTHY,NO,01958f464
DOG,BABY,FEMALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,NO,01a7b719c
DOG,BABY,FEMALE,Spitz,BLACK,MEDIUM,HEALTHY,NO,01b167b92
DOG,YOUNG,MALE,Mixed Breed,CREAM,SMALL,HEALTHY,YES,01ba86830
DOG,YOUNG,FEMALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,YES,01bcfcde8
DOG,BABY,MALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,01c202740
DOG,BABY,FEMALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,NO,01c3c09df
DOG,YOUNG,MALE,Rottweiler,BLACK,LARGE,HEALTHY,YES,01c62e03b
DOG,BABY,MALE,Golden Retriever,BROWN,SMALL,HEALTHY,NO,01c6d3224
DOG,BABY,FEMALE,Mixed Breed,CREAM,MEDIUM,HEALTHY,NO,01c7411ef
DOG,SENIOR,MALE,Cocker Spaniel,GOLDEN,MEDIUM,HEALTHY,NO,01d2db31d
DOG,BABY,FEMALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,YES,01d646ea8
DOG,BABY,MALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,01d981c81
DOG,BABY,MALE,Mixed Breed,BROWN,SMALL,HEALTHY,NO,01dc16c21
DOG,BABY,FEMALE,Mixed Breed,BROWN,MEDIUM,INJURED,NO,01e4020da
DOG,BABY,MALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,YES,01e410583
DOG,BABY,FEMALE,Mixed Breed,WHITE,MEDIUM,HEALTHY,NO,01e5d357f
DOG,SENIOR,MALE,Shih Tzu,BROWN,SMALL,HEALTHY,YES,01f3fa628
DOG,ADULT,FEMALE,Silky Terrier,BLACK,SMALL,HEALTHY,YES,01f4746ef
DOG,BABY,MALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,01f976ec9
DOG,BABY,FEMALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,NO,01fec620e
DOG,BABY,FEMALE,Mixed Breed,GOLDEN,MEDIUM,HEALTHY,YES,020cd1d50
DOG,BABY,MALE,Mixed Breed,BROWN,MEDIUM,INJURED,NO,02126e289
DOG,SENIOR,MALE,Silky Terrier,BROWN,SMALL,HEALTHY,NO,021b0b7bd
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,021c24928
DOG,BABY,MALE,Labrador Retriever,BLACK,LARGE,HEALTHY,NO,022606901
DOG,BABY,MALE,Mixed Breed,BLACK,SMALL,HEALTHY,NO,022b37ea0
DOG,BABY,FEMALE,Mixed Breed,CREAM,MEDIUM,HEALTHY,NO,0243911ea
DOG,BABY,MALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,NO,0244298a9
DOG,BABY,FEMALE,Pomeranian,BLACK,MEDIUM,HEALTHY,YES,02468e968
DOG,BABY,FEMALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,NO,024c4d4d3
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,0250f1cc7
DOG,BABY,MALE,Mixed Breed,BLACK,LARGE,INJURED,NO,0256cac2b
DOG,SENIOR,MALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,YES,025e61a40
DOG,BABY,MALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,NO,026ebf139
DOG,BABY,FEMALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,NO,0286dd665
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,028875e32
DOG,BABY,MALE,Mixed Breed,CREAM,MEDIUM,HEALTHY,NO,0291e8ca0
DOG,BABY,FEMALE,Mixed Breed,BLACK,SMALL,HEALTHY,NO,029641a1a
DOG,BABY,MALE,Terrier,BLACK,MEDIUM,HEALTHY,NO,029b05087
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,02a084920
DOG,SENIOR,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,YES,02a13b2cb
DOG,BABY,FEMALE,Mixed Breed,BROWN,SMALL,HEALTHY,NO,02a2a622c
DOG,BABY,FEMALE,Mixed Breed,BROWN,SMALL,HEALTHY,YES,02adb269f
DOG,YOUNG,MALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,YES,02af3813e
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,INJURED,NO,02c40b53c
DOG,BABY,FEMALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,YES,02c7d1b74
DOG,ADULT,MALE,German Shepherd Dog,BLACK,LARGE,HEALTHY,YES,02cd64831
DOG,BABY,MALE,Mixed Breed,WHITE,MEDIUM,HEALTHY,NO,02cf14499
DOG,BABY,MALE,Mixed Breed,YELLOW,MEDIUM,HEALTHY,NO,02d6020a9
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,02d66a1be
DOG,SENIOR,FEMALE,Shih Tzu,BLACK,SMALL,HEALTHY,NO,02d7ad0a1
DOG,BABY,FEMALE,Mixed Breed,YELLOW,MEDIUM,HEALTHY,NO,02d9e61ca
DOG,BABY,FEMALE,Corgi,BROWN,SMALL,HEALTHY,NO,02f7300db
DOG,ADULT,MALE,Labrador Retriever,CREAM,LARGE,HEALTHY,NO,02f89bdcb
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,0303de476
DOG,SENIOR,MALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,YES,0306e85dd
DOG,BABY,FEMALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,YES,030f32f08
DOG,BABY,MALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,NO,03188ecad
DOG,SENIOR,MALE,Mixed Breed,BROWN,SMALL,HEALTHY,YES,03193ad4e
DOG,BABY,MALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,NO,031a01c36
DOG,BABY,FEMALE,Mixed Breed,WHITE,MEDIUM,HEALTHY,NO,0322aa5b0
DOG,BABY,FEMALE,Mixed Breed,BROWN,SMALL,HEALTHY,NO,0327b8e94
DOG,BABY,MALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,032aefa61
DOG,BABY,MALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,YES,0338fcdaf
DOG,BABY,MALE,Mixed Breed,BROWN,LARGE,HEALTHY,YES,033ee3b35
DOG,SENIOR,MALE,Shih Tzu,BLACK,MEDIUM,HEALTHY,YES,034259113
DOG,BABY,MALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,03479e092
DOG,BABY,FEMALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,NO,035992662
DOG,BABY,FEMALE,Mixed Breed,BLACK,SMALL,HEALTHY,NO,0360b90f2
DOG,YOUNG,FEMALE,Terrier,BROWN,MEDIUM,HEALTHY,NO,036c684d3
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,YES,036e015d2
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,037b1c131
DOG,ADULT,FEMALE,Poodle,BROWN,SMALL,HEALTHY,NO,03824a75f
DOG,BABY,MALE,Mixed Breed,BROWN,LARGE,HEALTHY,NO,03884034e
DOG,BABY,FEMALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,YES,03926867a
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,039509c40
DOG,BABY,FEMALE,Mixed Breed,BLACK,LARGE,HEALTHY,NO,03a694927
DOG,BABY,FEMALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,YES,03aae5768
DOG,BABY,FEMALE,Spitz,BROWN,MEDIUM,HEALTHY,YES,03c1e47b4
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,03c323fcf
DOG,YOUNG,FEMALE,Poodle,BROWN,MEDIUM,HEALTHY,NO,03c52200b
DOG,BABY,FEMALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,YES,03c9f5406
DOG,BABY,FEMALE,Mixed Breed,YELLOW,SMALL,HEALTHY,YES,03e5bf50b
DOG,SENIOR,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,YES,03edf613f
DOG,SENIOR,FEMALE,Mixed Breed,WHITE,MEDIUM,HEALTHY,YES,03f0fc32f
DOG,SENIOR,MALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,YES,03f130f5f
DOG,BABY,MALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,NO,03f217352
DOG,BABY,FEMALE,Border Collie,BLACK,LARGE,HEALTHY,NO,03f4f8cd4
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,040736f83
DOG,SENIOR,MALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,YES,04075492e
DOG,ADULT,MALE,Shih Tzu,BLACK,SMALL,HEALTHY,NO,040ae13b2
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,040ca87c8
DOG,SENIOR,FEMALE,Mixed Breed,CREAM,MEDIUM,HEALTHY,YES,04109f4bb
DOG,BABY,FEMALE,Labrador Retriever,BLACK,MEDIUM,HEALTHY,NO,041dd606f
DOG,BABY,MALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,YES,04260adf8
DOG,SENIOR,MALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,YES,042f37990
DOG,BABY,FEMALE,Mixed Breed,WHITE,MEDIUM,HEALTHY,NO,0434520ef
DOG,YOUNG,FEMALE,Mixed Breed,BLACK,SMALL,HEALTHY,YES,043d8c534
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,0443d6f82
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,045543730
DOG,BABY,FEMALE,Terrier,WHITE,MEDIUM,HEALTHY,NO,0459c7bb7
DOG,BABY,FEMALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,YES,046256943
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,047514286
DOG,BABY,MALE,Mixed Breed,WHITE,MEDIUM,HEALTHY,YES,047968852
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,048d58d8b
DOG,ADULT,MALE,Shih Tzu,YELLOW,SMALL,HEALTHY,NO,048df7861
DOG,ADULT,MALE,Beagle,BLACK,MEDIUM,HEALTHY,NO,0493336f7
DOG,YOUNG,FEMALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,YES,04978fa5c
DOG,ADULT,MALE,Poodle,CREAM,SMALL,HEALTHY,YES,0497f7012
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,YES,04a555b91
DOG,BABY,MALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,04a5f717a
DOG,BABY,FEMALE,Mixed Breed,BLACK,SMALL,HEALTHY,NO,04a6267e4
DOG,BABY,MALE,Mixed Breed,GOLDEN,MEDIUM,HEALTHY,NO,04aa54436
DOG,BABY,FEMALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,YES,04b5f77c0
DOG,YOUNG,MALE,Shih Tzu,GRAY,SMALL,HEALTHY,YES,04c4a7493
DOG,BABY,MALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,04c83fbb8
DOG,SENIOR,MALE,German Shepherd Dog,BLACK,MEDIUM,HEALTHY,YES,04d1a03dc
DOG,BABY,FEMALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,YES,04d25d8a7
DOG,SENIOR,MALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,04d4ce3a4
DOG,BABY,MALE,German Shepherd Dog,BLACK,MEDIUM,HEALTHY,NO,04dc94c39
DOG,SENIOR,MALE,Shih Tzu,BROWN,SMALL,INJURED,YES,04e7d89c0
DOG,BABY,MALE,Mixed Breed,CREAM,MEDIUM,HEALTHY,NO,04e829d49
DOG,YOUNG,FEMALE,Poodle,CREAM,MEDIUM,HEALTHY,YES,04e966b1c
DOG,YOUNG,FEMALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,YES,04f02b126
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,04f7eafde
DOG,ADULT,FEMALE,Poodle,BLACK,SMALL,HEALTHY,NO,0515f0b27
DOG,SENIOR,FEMALE,Mixed Breed,CREAM,SMALL,HEALTHY,YES,052225ae9
DOG,BABY,FEMALE,Mixed Breed,CREAM,MEDIUM,HEALTHY,NO,0529ad4d9
DOG,BABY,FEMALE,Labrador Retriever,BROWN,MEDIUM,HEALTHY,YES,052b0ada8
DOG,ADULT,FEMALE,Shih Tzu,BROWN,MEDIUM,HEALTHY,NO,052c95a93
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,05312ba72
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,YES,053d121b8
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,054f35a8c
DOG,SENIOR,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,YES,0552678e9
DOG,ADULT,FEMALE,Dachshund,BLACK,SMALL,HEALTHY,YES,055e6b68e
DOG,BABY,MALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,NO,056cc22d2
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,057e5347f
DOG,YOUNG,FEMALE,Rottweiler,BLACK,LARGE,HEALTHY,NO,0594ed847
DOG,ADULT,FEMALE,Shih Tzu,BLACK,SMALL,HEALTHY,YES,05974bc36
DOG,BABY,MALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,05998be3a
DOG,BABY,FEMALE,Mixed Breed,BROWN,SMALL,HEALTHY,NO,059baa037
DOG,BABY,MALE,Husky,BLACK,MEDIUM,HEALTHY,NO,059cfed40
DOG,BABY,FEMALE,Mixed Breed,GOLDEN,MEDIUM,HEALTHY,YES,05aad3b3f
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,05ab54e3c
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,05ad15116
DOG,BABY,FEMALE,Mixed Breed,CREAM,SMALL,HEALTHY,NO,05bde54cc
DOG,BABY,FEMALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,NO,05d10428c
DOG,ADULT,MALE,Cocker Spaniel,BLACK,MEDIUM,INJURED,YES,05d2022eb
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,05d8b5a9d
DOG,BABY,MALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,NO,05d93f20b
DOG,BABY,MALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,YES,05dc47bda
DOG,BABY,MALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,NO,05ddc6538
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,YES,05e0673ef
DOG,YOUNG,FEMALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,YES,05e3bc1ae
DOG,BABY,MALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,05f00d521
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,05f84991b
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,INJURED,NO,05fadeacd
DOG,BABY,FEMALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,NO,05fb5b403
DOG,SENIOR,MALE,Mixed Breed,BLACK,MEDIUM,INJURED,YES,05febeea3
DOG,BABY,FEMALE,Terrier,GOLDEN,MEDIUM,HEALTHY,NO,0605aab21
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,060b52c3b
DOG,ADULT,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,YES,060d1de98
DOG,BABY,MALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,061378b30
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,YES,0617d9287
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,062633cb1
DOG,BABY,MALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,0627105f6
DOG,BABY,MALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,YES,0628b2de1
DOG,SENIOR,FEMALE,Mixed Breed,BROWN,SMALL,HEALTHY,YES,062b387cf
DOG,YOUNG,MALE,Mixed Breed,BROWN,SMALL,HEALTHY,NO,062e0879d
DOG,SENIOR,MALE,Spitz,BLACK,MEDIUM,HEALTHY,YES,062e2772c
DOG,ADULT,MALE,Beagle,BLACK,MEDIUM,HEALTHY,NO,062f73a4b
DOG,BABY,FEMALE,Belgian Shepherd Malinois,BLACK,MEDIUM,HEALTHY,NO,063521459
DOG,SENIOR,FEMALE,Schnauzer,GRAY,MEDIUM,HEALTHY,NO,0636650db
DOG,SENIOR,FEMALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,YES,064217ca4
DOG,BABY,FEMALE,Mixed Breed,GOLDEN,MEDIUM,HEALTHY,NO,064425a21
DOG,BABY,FEMALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,NO,06592b5b2
DOG,BABY,MALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,0659c05d5
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,066521b34
DOG,BABY,MALE,Mixed Breed,GOLDEN,MEDIUM,HEALTHY,YES,06666dc09
DOG,SENIOR,MALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,YES,0668b4926
DOG,ADULT,MALE,Terrier,CREAM,MEDIUM,HEALTHY,NO,067f49481
DOG,BABY,MALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,0690278af
DOG,BABY,FEMALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,NO,0691034ac
DOG,ADULT,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,YES,069762ec2
DOG,BABY,FEMALE,Mixed Breed,CREAM,MEDIUM,HEALTHY,YES,069fc697a
DOG,YOUNG,FEMALE,Poodle,BROWN,SMALL,HEALTHY,YES,069fc79d6
DOG,BABY,MALE,Beagle,BLACK,MEDIUM,HEALTHY,NO,06abc52ac
DOG,ADULT,FEMALE,German Shepherd Dog,BLACK,LARGE,HEALTHY,YES,06adfc154
DOG,BABY,FEMALE,Mixed Breed,CREAM,MEDIUM,HEALTHY,NO,06be5a37d
DOG,BABY,MALE,Golden Retriever,CREAM,LARGE,HEALTHY,NO,06bf9e676
DOG,BABY,MALE,Mixed Breed,WHITE,MEDIUM,HEALTHY,NO,06c246958
DOG,BABY,FEMALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,YES,06c5ddbd6
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,06daf9c05
DOG,BABY,FEMALE,Mixed Breed,CREAM,MEDIUM,HEALTHY,NO,06db81e31
DOG,BABY,MALE,Golden Retriever,BROWN,SMALL,HEALTHY,YES,06ed12b93
DOG,BABY,MALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,NO,06fda20a2
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,070014779
DOG,BABY,MALE,Mixed Breed,BLACK,SMALL,HEALTHY,YES,0708db877
DOG,BABY,FEMALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,NO,070faf086
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,07102e682
DOG,BABY,MALE,Mixed Breed,CREAM,MEDIUM,HEALTHY,NO,0722660e0
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,07227963b
DOG,SENIOR,MALE,Terrier,BLACK,MEDIUM,HEALTHY,YES,072ae6d9e
DOG,BABY,FEMALE,Pomeranian,BLACK,MEDIUM,HEALTHY,NO,072bb91b4
DOG,SENIOR,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,YES,072ff63f9
DOG,BABY,FEMALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,YES,074042a24
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,074487b2c
DOG,YOUNG,MALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,NO,074b67ec2
DOG,BABY,FEMALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,NO,074d26284
DOG,BABY,MALE,Jack Russell Terrier,BROWN,MEDIUM,HEALTHY,YES,0753ad1cd
DOG,BABY,FEMALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,NO,07558410c
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,076238985
DOG,YOUNG,MALE,Shih Tzu,WHITE,SMALL,HEALTHY,YES,07638746f
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,076a67405
DOG,BABY,MALE,Maltese,WHITE,SMALL,HEALTHY,NO,076ec7e18
DOG,SENIOR,MALE,Mixed Breed,CREAM,MEDIUM,HEALTHY,NO,077001793
DOG,YOUNG,MALE,Corgi,CREAM,MEDIUM,HEALTHY,YES,07877aea7
DOG,BABY,MALE,Belgian Shepherd Malinois,BROWN,MEDIUM,HEALTHY,NO,078bf7e5a
DOG,BABY,FEMALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,NO,078fb1715
DOG,YOUNG,FEMALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,YES,07914c759
DOG,ADULT,FEMALE,Poodle,WHITE,MEDIUM,HEALTHY,YES,079332bdc
DOG,BABY,FEMALE,Labrador Retriever,BLACK,MEDIUM,HEALTHY,NO,079560a12
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,079785984
DOG,BABY,FEMALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,NO,079f5f1e4
DOG,YOUNG,MALE,German Shepherd Dog,BLACK,LARGE,HEALTHY,YES,07a0984c4
DOG,SENIOR,FEMALE,Pomeranian,BLACK,MEDIUM,HEALTHY,YES,07ae95ddc
DOG,BABY,FEMALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,NO,07b2296d7
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,07b2fd920
DOG,BABY,MALE,Poodle,BLACK,SMALL,HEALTHY,NO,07bd5a7a9
DOG,BABY,MALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,NO,07c7ad4a5
DOG,BABY,FEMALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,NO,07cc0ce27
DOG,BABY,FEMALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,YES,07cfb3380
